source_number|name|ra|dec|error_radius|snr|y5r500|y5r500_error|redshift|redshift_source_name|mass_sz|mass_sz_pos_err|mass_sz_neg_err
1|PSZ2-G000.04+45.13|151645.7|-010102|4.107310|6.75319|5.48159e-03|1.89950e-03|0.119800|RXCJ1516.5-0056|3.962411|0.393290|0.370242
2|PSZ2-G000.13+78.04|133414.1|+201522|2.056201|9.25669|4.36085e-03|1.84025e-03|0.171000|RXCJ1334.1+2013|5.122391|0.351061|0.322839
3|PSZ2-G000.40-41.86|210420.3|-412115|2.427383|9.70428|4.50769e-03|1.04687e-03|0.165100|RXCJ2104.3-4120|5.297053|0.320350|0.344108
4|PSZ2-G000.77-35.69|203153.5|-403555|2.343365|6.58179|1.60629e-03|5.16778e-04|0.341600|RXCJ2031.8-4037|6.333562|0.589880|0.611330
5|PSZ2-G002.04-22.15|192526.3|-363105|5.020757|5.12563|1.92778e-03|6.44426e-04|||||
6|PSZ2-G002.08-68.28|231831.8|-361957|5.427269|4.75040|3.12731e-03|1.59132e-03|0.140000|ACOS1109|2.835297|0.370542|0.463434
7|PSZ2-G002.42+69.64|140358.4|+154118|2.428572|4.62169|2.68569e-03|1.31046e-03|0.180518|RMJ140358.9+154409.6|3.510401|0.465839|0.484462
8|PSZ2-G002.77-56.16|221838.3|-385246|2.279605|9.19606|4.04779e-03|1.02807e-03|0.141100|RXCJ2218.6-3853|4.411132|0.298660|0.303283
9|PSZ2-G002.82+39.23|154003.6|-031706|2.428775|8.07308|9.70097e-03|2.63729e-03|0.153300|RXCJ1540.1-0318|5.736017|0.475538|0.476516
10|PSZ2-G002.88-22.45|192803.5|-355234|7.238675|4.80061|1.94268e-03|7.12163e-04|||||
11|PSZ2-G003.21-76.04|235324.3|-331736|5.274178|4.78953|1.03584e-03|3.84556e-04|||||
12|PSZ2-G003.91-42.03|210552.2|-384511|2.428906|9.33304|5.35817e-03|1.11078e-03|0.152100|RXCJ2106.0-3846|4.716204|0.321887|0.370266
13|PSZ2-G003.93-59.41|223425.9|-374429|2.428905|17.35802|5.66285e-03|7.19787e-04|0.151000|RXCJ2234.5-3744|7.194754|0.263986|0.259055
14|PSZ2-G004.04+42.23|153305.6|-004031|5.282620|4.75789|3.20920e-03|1.79117e-03|0.151272|RMJ153303.5-004616.5|3.592052|0.465211|0.500454
15|PSZ2-G004.13+56.81|144727.6|+082706|3.396793|6.75999|3.08855e-03|9.30312e-04|0.380000|RXCJ1447.4+0827|7.122818|0.643275|0.678634
16|PSZ2-G004.45-19.55|191704.0|-333230|2.428597|9.06547|1.96385e-03|3.60270e-04|0.540000||10.356931|0.677135|0.724367
17|PSZ2-G005.91-28.26|195913.6|-345330|2.064811|5.98316|2.29145e-03|8.89302e-04|0.172800|RXCJ1959.1-3454|4.286492|0.387097|0.416893
18|PSZ2-G006.05+29.43|161737.5|-071545|3.458767|5.09372|1.78547e-03|7.42856e-04|0.252300|RXCJ1617.6-0714|5.515037|0.647036|0.714597
19|PSZ2-G006.16-69.49|232209.0|-343431|4.461128|4.55340|1.33190e-03|6.83665e-04|||||
20|PSZ2-G006.38+62.03|143313.9|+122911|2.428863|5.65158|1.36098e-03|4.24082e-04|0.235712|RMJ143312.4+122756.8|4.813953|0.554516|0.572437
21|PSZ2-G006.49+50.56|151054.9|+054605|2.117182|23.17088|2.29633e-02|2.11504e-03|0.076600|A2029|7.039484|0.199073|0.193102
22|PSZ2-G006.68-35.55|203449.4|-354930|2.401851|11.85154|1.17188e-02|2.15168e-03|0.089400|RXCJ2034.7-3548|4.166683|0.232628|0.237041
23|PSZ2-G006.76+30.45|161549.2|-060909|2.296010|35.01054|2.35336e-02|1.63328e-03|0.203000|RXCJ1615.7-0608|16.116468|0.296833|0.292221
24|PSZ2-G006.82-34.71|203050.6|-353351|2.428786|5.02210|1.74992e-03|8.02183e-04|0.139800|RXCJ2030.7-3532|3.152574|0.402348|0.436777
25|PSZ2-G006.84+50.69|151101.3|+060119|7.178472|5.73192|3.67845e-02|7.59671e-03|0.075728||1.844416|0.742635|0.744162
26|PSZ2-G007.57-33.90|202732.7|-344748|3.390816|4.82758|1.14233e-03|3.56096e-04|0.550000||6.273721|0.734868|0.802158
27|PSZ2-G007.67-43.18|211243.1|-360504|2.428765|5.38838|1.71792e-03|6.39196e-04|||||
28|PSZ2-G007.76-36.83|204145.4|-351116|3.519234|5.74397|5.11689e-03|1.67287e-03|0.089462|ACO3705|2.638609|0.268698|0.282619
29|PSZ2-G008.31-64.74|225842.8|-344718|1.943902|10.94720|4.49901e-03|8.10077e-04|0.312000|ACOS1077|7.745729|0.411880|0.396772
30|PSZ2-G008.47-56.34|221746.5|-354256|3.529226|10.05360|4.86193e-03|1.03462e-03|0.148600|RXCJ2217.7-3543|4.791958|0.304431|0.288075
31|PSZ2-G008.70-31.44|201657.9|-331935|4.113153|5.34288|3.31104e-03|1.10293e-03|||||
32|PSZ2-G008.80-35.18|203438.3|-340341|2.744902|6.28531|3.05005e-03|1.33309e-03|0.093600|RXCJ2034.7-3404|2.975521|0.286146|0.328333
